# static build-value site inventory — generated/regex_parser.rs
# totals: alt_hop_clone=1848 direct_fold=342 other_clone=1848 peel_fn_clone=16 peel_walk_clone=16 pgen_content=323 raw_best_clone=667 raw_use_clone=1698 seq_peel_clone=2119

fn	seq_peel_clone	alt_hop_clone	other_clone	peel_walk_clone	peel_fn_clone	raw_best_clone	raw_use_clone	direct_fold	pgen_content
parse_anchor	1	1	1	0	0	9	9	0	0
parse_class_body_nonempty	8	4	4	0	0	2	2	0	1
parse_class_body_nonempty_nocaret	8	4	4	0	0	2	2	0	1
parse_class_range_endpoint	6	5	5	0	0	0	5	0	0
parse_class_range_decodable_atom	6	5	5	0	0	0	5	0	0
parse_condition_assertion	5	1	1	0	0	5	5	0	4
parse_directive_mark_shorthand	4	3	3	0	0	5	5	0	1
parse_directive_payload_colon_required	4	3	3	0	0	5	5	0	1
cascade_build_quoted_literal_char	7	7	7	0	0	0	0	0	0
parse_group	4	4	4	0	0	4	4	0	0
parse_non_atomic_alpha_lookaround_name	4	4	4	0	0	4	4	0	0
parse_script_run_name	4	4	4	0	0	4	4	0	0
parse_directive_verb_nonquant	6	4	4	0	0	0	3	0	3
parse_directive_limit_name	4	4	4	0	0	4	4	0	0
parse_quantifier	4	3	3	0	0	0	6	0	3
parse_directive_payload_required	3	3	3	0	0	5	5	0	0
parse_directive_body_nonquantifiable	5	4	4	0	0	0	3	0	2
cascade_build_directive_verb_name_nonaccept	6	6	6	0	0	0	0	0	0
cascade_build_quoted_literal_escape_tail	6	6	6	0	0	0	0	0	0
cascade_build_whitespace	6	6	6	0	0	0	0	0	0
parse_start_option_verb	4	3	3	0	0	2	2	0	3
parse_class_atom	4	3	3	0	0	3	3	0	1
parse_scs_capture_number	5	4	4	0	0	0	2	0	2
parse_directive_name_relaxed	3	3	3	0	0	4	4	0	0
parse_property_escape	4	0	0	0	0	4	4	0	4
parse_named_group	4	2	2	0	0	2	2	0	4
parse_scan_substring_group	5	2	2	0	0	2	2	0	3
parse_condition_callout_assertion	5	3	3	0	0	0	2	0	3
cascade_build_value_atom	0	0	0	0	0	0	0	16	0
parse_entry_alternation	3	2	2	2	2	2	2	0	0
parse_entry_alternative	3	2	2	2	2	2	2	0	0
parse_entry_concatenation	3	2	2	2	2	2	2	0	0
parse_start_option_body	3	3	3	0	0	2	2	0	2
cascade_build_any_char	5	5	5	0	0	0	0	0	0
parse_signed_digits	4	3	3	0	0	0	2	0	2
parse_class_zero_width	3	3	3	0	0	2	2	0	1
parse_short_prop_letter	0	0	0	0	0	0	14	0	0
parse_version_number	3	2	2	0	0	2	2	0	3
parse_class_range_decodable_escape	2	1	1	0	0	4	4	0	1
parse_extended_class_element	4	3	3	0	0	0	3	0	0
cascade_build_value_invalid_class_range	0	0	0	0	0	0	0	13	0
parse_named_subroutine_target	4	2	2	0	0	0	2	0	2
parse_scoped_inline_modifiers	4	1	1	0	0	0	2	0	4
parse_directive_verb	3	2	2	0	0	2	2	0	1
parse_directive_payload_core	2	2	2	0	0	3	3	0	0
parse_code_block	3	2	2	0	0	2	2	0	1
cascade_build_directive_limit_name	4	4	4	0	0	0	0	0	0
cascade_build_non_atomic_alpha_lookaround_name	4	4	4	0	0	0	0	0	0
parse_zero_width	2	2	2	0	0	2	2	0	1
parse_brace_ws	2	2	2	0	0	2	2	0	0
parse_class_bracket_token_tail	0	0	0	0	0	4	6	0	0
parse_class_simple_escape	2	2	2	0	0	2	2	0	0
parse_scan_substring_name	2	2	2	0	0	2	2	0	0
parse_inline_modifiers	3	1	1	0	0	0	2	0	3
parse_callout	3	2	2	0	0	0	2	0	1
parse_condition_callout	3	2	2	0	0	0	2	0	1
parse_directive_body_quantifiable	2	2	2	0	0	2	2	0	0
parse_quant_bound_number	2	2	2	0	0	0	2	0	0
parse_literal	2	2	2	0	0	0	2	0	0
parse_sign	2	2	2	0	0	0	2	0	0
parse_class_range_literal_escape_letter	2	2	2	0	0	0	2	0	0
parse_simple_escape_letter	2	2	2	0	0	0	2	0	0
parse_atomic_group	2	0	0	0	0	2	2	0	2
parse_callout_arg	2	2	2	0	0	0	2	0	0
parse_callout_number	2	2	2	0	0	0	2	0	0
parse_modifier_spec	2	1	1	0	0	0	2	0	2
parse_version_operator	2	2	2	0	0	0	2	0	0
parse_recursion_condition	2	0	0	0	0	2	2	0	2
parse_directive_accept_named	3	1	1	0	0	0	0	0	3
parse_code_string_double	2	2	2	0	0	0	2	0	0
parse_code_string_double_char	2	2	2	0	0	0	2	0	0
parse_code_string_single	2	2	2	0	0	0	2	0	0
parse_code_string_single_char	2	2	2	0	0	0	2	0	0
cascade_build_value_callout_string	0	0	0	0	0	0	0	8	0
parse_quant_base	1	1	1	0	0	0	4	0	0
parse_directive_payload_equals	2	1	1	0	0	0	2	0	1
cascade_build_value_backreference	0	0	0	0	0	0	0	7	0
cascade_build_value_condition	0	0	0	0	0	0	0	7	0
cascade_build_value_escape_unit	0	0	0	0	0	0	0	7	0
cascade_build_value_lookaround	0	0	0	0	0	0	0	7	0
cascade_build_piece_quoted_run_quantified	3	0	0	1	1	0	0	0	2
parse_python_named_group	2	1	1	0	0	0	0	0	2
parse_alpha_lookaround	2	1	1	0	0	0	0	0	2
parse_callout_backtick_string	1	0	0	0	0	2	2	0	1
parse_callout_single_string	1	0	0	0	0	2	2	0	1
parse_callout_double_string	1	0	0	0	0	2	2	0	1
parse_callout_caret_string	1	0	0	0	0	2	2	0	1
parse_callout_percent_string	1	0	0	0	0	2	2	0	1
parse_callout_hash_string	1	0	0	0	0	2	2	0	1
parse_callout_dollar_string	1	0	0	0	0	2	2	0	1
parse_callout_brace_string	1	0	0	0	0	2	2	0	1
parse_conditional	3	0	0	0	0	0	0	0	3
parse_directive_mark_named	2	1	1	0	0	0	0	0	2
parse_directive_payload_suffix	2	0	0	0	0	0	2	0	2
cascade_build_alpha_lookaround_name	2	2	2	0	0	0	0	0	0
cascade_build_brace_ws	2	2	2	0	0	0	0	0	0
cascade_build_class_zero_width	2	2	2	0	0	0	0	0	0
