range qualification: PASS g1c_sites=7 thin_memo_success_sites=2 instruction_overlap=0
probe_sha256=1d3fa0eebb4de19ff003ace38721d80d71bd94653f8ea3801c0f29ca9581f9b8
bands=sub1us,1to2p5,2p5to20
rows sorted by aggregate dynamic count
pc target=atom_closure address=0x1000732b4 offset=34240 total=  19 sub1us=7 1to2p5=4 2p5to20=8 | ldr x10, [x20, #0x2f8]
pc target=atom_closure address=0x10006e5bc offset=14536 total=  18 sub1us=4 1to2p5=7 2p5to20=7 | ldr x9, [x20, #0x2f8]
pc target=piece        address=0x10005cba0 offset=16000 total=  18 sub1us=13 1to2p5=3 2p5to20=2 | ldr x8, [x20, #0x288]
pc target=atom_closure address=0x10006ee2c offset=16696 total=  17 sub1us=3 1to2p5=9 2p5to20=5 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x10005920c offset= 1260 total=  17 sub1us=8 1to2p5=4 2p5to20=5 | ldr x28, [x20, #0x2a0]
pc target=piece        address=0x10005bfb0 offset=12944 total=  17 sub1us=6 1to2p5=6 2p5to20=5 | ldr x26, [x20, #0x258]
pc target=atom_closure address=0x10006c928 offset= 7220 total=  16 sub1us=5 1to2p5=4 2p5to20=7 | ldr x11, [x20, #0x2f8]
pc target=atom_closure address=0x10006f404 offset=18192 total=  16 sub1us=4 1to2p5=4 2p5to20=8 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x100079e50 offset=61788 total=  16 sub1us=3 1to2p5=5 2p5to20=8 | ldr x9, [x20, #0x2f8]
pc target=piece        address=0x100059160 offset= 1088 total=  16 sub1us=7 1to2p5=2 2p5to20=7 | ldr x19, [x20, #0x10]
pc target=piece        address=0x10005c700 offset=14816 total=  16 sub1us=4 1to2p5=4 2p5to20=8 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10006dcd0 offset=12252 total=  15 sub1us=6 1to2p5=5 2p5to20=4 | ldr x9, [x20, #0x2f8]
pc target=atom_closure address=0x10006f758 offset=19044 total=  15 sub1us=6 1to2p5=3 2p5to20=6 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x1000754bc offset=42952 total=  15 sub1us=4 1to2p5=2 2p5to20=9 | ldr x9, [x20, #0x2f8]
