edition	chapter	clause	cases	positive	negative	observed_pass	observed_fail	suites
1800-2017	18	18.5.14.1	5	5	0	2	3	sv-tests
1800-2017	18	18.5.14.2	5	5	0	2	3	sv-tests
1800-2017	18	18.6.1	1	1	0	0	1	sv-tests
1800-2017	18	18.6.2	4	4	0	2	2	sv-tests
1800-2017	18	18.6.3	6	6	0	2	4	sv-tests
1800-2017	18	18.7	7	7	0	3	4	sv-tests
1800-2017	18	18.7.1	2	2	0	1	1	sv-tests
1800-2017	18	18.8	7	7	0	2	5	sv-tests
1800-2017	18	18.9	2	2	0	0	2	sv-tests
1800-2017	18	18.10	1	1	0	0	1	sv-tests
1800-2017	18	18.11	2	2	0	0	2	sv-tests
1800-2017	18	18.11.1	2	2	0	0	2	sv-tests
1800-2017	18	18.12	2	2	0	1	1	sv-tests
1800-2017	18	18.12.1	2	2	0	0	2	sv-tests
1800-2017	18	18.13.1	4	4	0	2	2	sv-tests
1800-2017	18	18.13.2	4	4	0	1	3	sv-tests
1800-2017	18	18.13.3	1	1	0	0	1	sv-tests
1800-2017	18	18.13.4	1	1	0	0	1	sv-tests
1800-2017	18	18.13.5	1	1	0	0	1	sv-tests
1800-2017	18	18.14	4	4	0	0	4	sv-tests
1800-2017	18	18.14.2	2	2	0	0	2	sv-tests
1800-2017	18	18.14.3	2	2	0	0	2	sv-tests
1800-2017	18	18.15	2	2	0	1	1	sv-tests
1800-2017	18	18.16	2	2	0	2	0	sv-tests
1800-2017	18	18.17	2	2	0	2	0	sv-tests
1800-2017	18	18.17.1	1	1	0	1	0	sv-tests
1800-2017	18	18.17.2	4	4	0	4	0	sv-tests
1800-2017	18	18.17.3	2	2	0	2	0	sv-tests
1800-2017	18	18.17.4	1	1	0	1	0	sv-tests
1800-2017	18	18.17.5	2	2	0	2	0	sv-tests
1800-2017	18	18.17.6	3	3	0	3	0	sv-tests
1800-2017	18	18.17.7	1	1	0	1	0	sv-tests
1800-2017	20	20.2	3	3	0	3	0	sv-tests
1800-2017	20	20.3	3	3	0	3	0	sv-tests
1800-2017	20	20.4	3	3	0	3	0	sv-tests
1800-2017	20	20.5	4	4	0	4	0	sv-tests
1800-2017	20	20.6	5	5	0	5	0	sv-tests
1800-2017	20	20.7	2	2	0	2	0	sv-tests
1800-2017	20	20.8	10	10	0	10	0	sv-tests
1800-2017	20	20.9	4	4	0	4	0	sv-tests
1800-2017	20	20.10	4	4	0	4	0	sv-tests
1800-2017	20	20.14	1	1	0	0	1	sv-tests
1800-2017	20	20.15	8	8	0	8	0	sv-tests
1800-2017	21	21.2	6	6	0	6	0	sv-tests
1800-2017	21	21.3	17	17	0	17	0	sv-tests
1800-2017	21	21.4	2	2	0	2	0	sv-tests
1800-2017	21	21.6	2	2	0	2	0	sv-tests
1800-2017	21	21.7	2	2	0	2	0	sv-tests
1800-2017	22	22.3	3	0	0	2	1	sv-tests
1800-2017	22	22.4	8	0	0	7	1	sv-tests
1800-2017	22	22.5.1	29	0	0	6	23	sv-tests
1800-2017	22	22.5.2	2	0	0	2	0	sv-tests
1800-2017	22	22.5.3	2	0	0	2	0	sv-tests
1800-2017	22	22.6	3	0	0	0	3	sv-tests
1800-2017	22	22.7	6	2	0	6	0	sv-tests
1800-2017	22	22.8	2	0	0	2	0	sv-tests
1800-2017	22	22.9	5	3	0	5	0	sv-tests
1800-2017	22	22.10	2	0	0	2	0	sv-tests
1800-2017	22	22.11	6	0	0	6	0	sv-tests
1800-2017	22	22.12	7	0	0	7	0	sv-tests
1800-2017	23	23.2	3	3	0	3	0	sv-tests
1800-2017	24	24.3	1	1	0	1	0	sv-tests
1800-2017	25	25.3	1	1	0	1	0	sv-tests
1800-2017	26	26.2	1	1	0	1	0	sv-tests
1800-2017	26	26.3	1	1	0	1	0	sv-tests
