sub_corpus	tier	path	accepted	entries	committed	memo_hits	lr_entries	lr_committed
iverilog	hot	stimuli/sv/subs/iverilog/ivtest/ivltests/br_gh330.v	yes	3741387	157022	1709032	133351	0
iverilog	hot	stimuli/sv/subs/iverilog/ivtest/ivltests/comp1000.v	yes	7332458	192895	3297118	254439	0
iverilog	hot	stimuli/sv/subs/iverilog/ivtest/ivltests/comp1001.v	yes	7522111	191366	3384390	261549	0
iverilog	breadth	stimuli/sv/subs/iverilog/ivtest/ivltests/enum_base_fail_class.v	yes	5857	182	2295	62	0
iverilog	breadth	stimuli/sv/subs/iverilog/ivtest/ivltests/param_times.v	no	15386	449	6277	244	0
iverilog	breadth	stimuli/sv/subs/iverilog/ivtest/ivltests/pr2395835.v	yes	28291	1493	12493	689	0
iverilog	lr	stimuli/sv/subs/iverilog/ivtest/ivltests/pr2835632b.v	yes	1194949	62922	533730	37476	0
iverilog	breadth	stimuli/sv/subs/iverilog/ivtest/ivltests/rop.v	yes	297340	11803	129076	8339	0
iverilog	lr	stimuli/sv/subs/iverilog/ivtest/ivltests/scanf4.v	yes	2010282	70085	874966	56449	0
iverilog	breadth	stimuli/sv/subs/iverilog/ivtest/ivltests/sv_foreach9.v	yes	14735	567	6241	393	0
iverilog	lr	stimuli/sv/subs/iverilog/ivtest/ivltests/sv_literals.v	yes	1484723	82238	692992	44398	0
iverilog	breadth	stimuli/sv/subs/iverilog/ivtest/ivltests/task_nonansi_parray2.v	yes	30483	965	12940	764	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/dv/dpi/dmidpi/dmidpi.sv	yes	40871	2006	16963	953	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/adc_ctrl/rtl/adc_ctrl_reg_top.sv	no	3090135	12	1385263	90420	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/ip/aes/rtl/aes_control_fsm_p.sv	no	4370	16	1624	44	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/ip/aes/rtl/aes_reg_top.sv	no	1780813	12	791784	50557	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/ip/ascon/rtl/ascon_reg_top.sv	no	2259253	12	1004769	64813	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/bkdr_loader/rtl/bkdr_loader_regs_reg_top.sv	no	2597783	12	1153330	76134	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/ip/csrng/rtl/csrng_reg_top.sv	no	1441496	12	644491	40671	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/dma/rtl/dma_reg_top.sv	no	2902570	12	1297301	83884	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/entropy_src/rtl/entropy_src_reg_top.sv	no	2785083	12	1241322	78810	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/hmac/rtl/hmac_reg_top.sv	no	2747028	12	1214795	77472	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/i2c/rtl/i2c_reg_top.sv	no	2745476	12	1227895	76792	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/keymgr/rtl/keymgr_reg_top.sv	no	2869050	12	1281168	82485	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/keymgr_dpe/rtl/keymgr_dpe_reg_top.sv	no	2630150	12	1175534	75270	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/kmac/rtl/kmac_reg_top.sv	no	2889084	12	1276815	80426	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/ip/lc_ctrl/dv/env/seq_lib/lc_ctrl_state_failure_vseq.sv	no	468	8	162	0	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/ip/lc_ctrl/rtl/lc_ctrl_regs_reg_top.sv	no	1429179	12	630991	40312	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/ip/lc_ctrl/rtl/lc_ctrl_state_pkg.sv	yes	1005237	62723	454916	35164	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/prim/rtl/prim_secded_pkg.sv	yes	4659426	114350	2070841	152192	72
opentitan	breadth	stimuli/sv/subs/opentitan/hw/ip/prim_generic/rtl/prim_flop_2sync.sv	no	13773	9	5805	410	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/rram_ctrl/rtl/rram_ctrl_core_reg_top.sv	no	4915914	12	2200295	142540	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/rv_dm/rtl/rv_dm_mem_reg_top.sv	no	7995167	12	3577929	250078	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/ip/rv_dm/rtl/rv_dm_reg_pkg.sv	yes	935857	39302	395917	31366	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/spi_device/rtl/spi_device_reg_top.sv	no	13086986	12	5872127	370713	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/sysrst_ctrl/rtl/sysrst_ctrl_reg_top.sv	no	4635641	12	2086142	132531	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/ip/uart/dv/env/uart_env_cov.sv	no	466	7	162	0	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/ip/usbdev/rtl/usbdev_reg_top.sv	no	6105782	12	2743291	171489	0
