rule	entries	committed	memo_hits
cycle_delay_range	2703	2	3
data_declaration	81228	2101	1156
data_declaration_sv_2017	80072	2101	0
data_type	191454	12447	4433
data_type_or_implicit	91068	11052	0
data_type_or_void	3430	2213	312
data_type_or_void_sv_only	3118	48	22
declaration_identifier	9763258	139801	0
declared_class_alias_identifier	1	0	0
declared_class_identifier	26	10	1
declared_forward_class_identifier	9	9	0
declared_interface_class_identifier	7	7	3
declared_package_identifier	32	30	0
declared_parameter_identifier	35128	17731	20143
declared_type_identifier	1230	561	0
declared_type_parameter_identifier	40	20	27
deferred_immediate_assert_statement	98514	0	0
deferred_immediate_assertion_item	72154	0	162
deferred_immediate_assertion_statement	98514	0	0
deferred_immediate_assume_statement	98514	0	0
deferred_immediate_cover_statement	98514	0	0
defparam_assignment	4	4	0
delay	37921	1	0
delay_control	66391	831	757
delay_or_event_control	7130	1	2404
delay_sv_2017	37921	1	225
delay_value	23673	832	11416
delay_value_sv_only	12257	0	0
description	605	224	0
description_unit_item_sv_only	605	70	0
direct_callable_method_call	1326220	0	663110
direct_method_call	83144	0	0
disable_statement	32377	0	5855
dot	4569857	86927	3785725
dot_star	212265	2	0
dpi_function_import_property	32	1	0
dpi_function_proto	32	4	0
dpi_import_export	80484	5	675
dpi_spec_string	200	5	0
dpi_task_import_property	32	0	0
dpi_task_proto	32	0	0
drive_strength	37921	0	225
dynamic_array_new	6129	1	2146
dynamic_array_variable_identifier	114746	4	0
edge_identifier	2560	61	52
edge_indicator	2	0	0
edge_input_list	2	0	0
edge_symbol	2	0	0
elaboration_system_task	73525	0	1533
elaboration_system_task_sv_2017	71992	0	0
empty_unpacked_array_concatenation	1942733	0	0
enable_gatetype	71988	0	0
enum_base_type	143	113	0
enum_id_scope_prefix	942333	77	357081
enum_identifier	946345	16941	0
enum_name_declaration	4012	3751	0
equal	472256	11412	0
escaped_identifier	1622971	0	0
event_control	31308	88	0
event_control_sv_2017	31308	88	25
event_expression	1523	62	0
event_expression_primary	2560	64	0
event_trigger	32377	0	0
event_trigger_sv_2017	32377	0	5855
expect_property_statement	32377	2	5854
expression	757909	210044	272401
expression_base	1628158	216815	1140747
expression_operand	542324	246492	1407
expression_or_cond_pattern	381098	6767	0
expression_or_dist	2723	11	1356
extern_constraint_declaration	80484	1	675
extern_constraint_declaration_sv_2017	79809	1	0
extern_tf_declaration	725	0	53
final_construct	73566	2	1574
for_initialization	152	10	0
for_step	152	10	0
for_step_assignment	153	10	0
for_variable_declaration	153	2	104
formal_port_identifier	942333	13190	0
forward_type_keyword	621	0	0
function_body_declaration	110	107	0
function_data_type_or_implicit	440	107	0
function_declaration	81231	107	0
function_declaration_sv_2017	81231	107	1379
function_identifier	267	121	0
function_prototype	43	10	0
function_prototype_sv_2017	43	10	0
function_statement	285	170	0
function_statement_or_null	283	168	0
function_subroutine_call	154	1	0
gate_instantiation	72747	0	0
gate_instantiation_sv_2017	72747	0	759
generate_block	159	43	0
generate_block_identifier	802570	232	0
generate_item	1178	360	185
generate_region	72427	6	434
genvar_declaration	73370	5	1378
genvar_expression	91	81	0
genvar_identifier	942504	13280	0
genvar_initialization	73	41	0
genvar_iteration	73	41	26
goto_repetition	1344	0	0
greater_equal	472256	460	0
greater_than	472256	965	0
hash	318099	1327	0
hierarchical_array_identifier	3	1	0
hierarchical_block_identifier	2	0	0
hierarchical_event_identifier	171	0	0
hierarchical_identifier	3054046	136126	2444421
hierarchical_instance	45851	8119	0
hierarchical_net_identifier	24847	2254	0
hierarchical_parameter_identifier	4	4	0
hierarchical_property_identifier	2	2	0
hierarchical_root_prefix_sv_only	946305	0	337970
hierarchical_sequence_identifier	689495	13	112097
hierarchical_task_identifier	2	0	0
hierarchical_tf_identifier	336680	0	0
hierarchical_variable_identifier	650205	8445	167844
identifier	577042	0	0
identifier_rooted_method_chain	1352373	0	767121
if_generate_construct	72044	2	41
if_generate_else_clause	43	0	1
iff_arrow	472256	0	0
immediate_assertion_statement	29810	0	3288
implicit_class_handle	3192452	4	2593212
implicit_class_rooted_method_chain	1435517	0	858475
implicit_data_type	124501	13501	2453
implies	498783	0	0
