rule	entries	committed	memo_hits
parameter_port_list	436	20	173
parameter_value_assignment	186183	469	114022
parameter_value_assignment_sv_2017	72161	469	0
part_select_range	59843	12884	6201
pass_en_switchtype	71988	0	0
pass_switchtype	71988	0	0
pattern	27	0	0
pattern_sv_2017	27	0	0
percent	472256	395	0
percent_assign	15361	0	0
plain_tf_call_with_args	2785380	3908	2207535
plus	1110776	7038	0
plus_assign	15361	1	0
plus_plus	869448	4	0
port	372	283	0
port_declaration	2382	263	0
port_direction	5035	1375	3130
port_direction_sv_only	1905	1	0
port_expression	373	263	0
port_identifier	215652	47311	0
port_identifier_decl	264	262	0
port_reference	375	264	0
power	472256	3	0
primary	561078	246492	420
primary_dollar_sv_only	560658	982	108537
primary_hier_scope_prefix	560658	1330	100393
primary_literal	2885066	151588	2308024
primary_literal_sv_only	577042	94	0
primary_sv_2017	560658	246492	0
procedural_assertion_statement	32377	0	2567
procedural_continuous_assignment	32377	0	5855
procedural_timing_control	26581	917	0
procedural_timing_control_statement	32377	917	5796
program_ansi_header	71932	0	0
program_declaration	72364	0	435
program_declaration_sv_2017	71929	0	0
program_identifier	71992	2722	0
program_instantiation	72857	2722	865
program_nonansi_header	71932	0	0
prop_and_sv_2017	4	2	2
prop_iff_sv_2017	12	2	10
prop_or_sv_2017	4	2	2
prop_primary_sv_2017	4	2	2
prop_until_sv_2017	2	2	0
property_declaration	79809	0	0
property_expr	2	2	0
property_expr_sv_2017	2	2	0
property_identifier	1	0	0
property_instance	2	2	0
property_qualifier	49	8	0
property_spec	2	2	0
provisional_unscoped_block_class_type	32993	22	958
ps_checker_identifier	101964	0	0
ps_covergroup_identifier	187021	1481	0
ps_identifier	12257	2	0
ps_or_hierarchical_array_identifier	3	1	0
ps_or_hierarchical_net_identifier	24847	2254	0
ps_or_hierarchical_property_identifier	2	2	0
ps_or_hierarchical_sequence_identifier	689529	13	34
ps_parameter_identifier	2226749	18654	1515202
ps_type_identifier	1284416	5464	676841
ps_type_identifier_sv_2017	607575	5464	0
question	526899	10698	0
queue_dimension	99312	6	121
queue_slice_dollar_bound	112302	0	53279
queue_slice_dollar_offset	2	0	0
queue_slice_range_sv_only	53642	0	363
randcase_item	5	0	0
randcase_statement	32377	0	5855
random_qualifier	3000	7	0
randomize_call	1446761	0	847786
randsequence_statement	32377	0	5855
randsequence_statement_sv_2017	26522	0	0
rbrace	31328	8684	0
rbrack	412048	75872	254009
real_number	1178605	88	0
reduction_nand	530718	5	0
reduction_nor	530718	23	0
reduction_xnor	1002974	5	0
reduction_xnor_alt	1002974	0	0
ref_declaration	2382	0	0
reserved_non_keyword_identifier	1033672	0	0
reserved_non_keyword_identifier_sv	1033672	0	0
restrict_property_statement	98514	0	0
rooted_tf_call_sv_only	1382674	0	805632
rparen	504509	96626	275622
scope_free_identifier	12257	2	0
scope_randomize_sv_only	560658	0	108537
scope_resolution	445120	8060	137275
scoped_base_class_type_identifier	14	0	1
scoped_block_class_type	32993	0	958
scoped_block_covergroup_identifier	32993	0	958
scoped_block_type_identifier	32993	0	1
scoped_checker_identifier	101964	0	3450
scoped_class_scope_identifier	832740	6	106688
scoped_class_scoped_call_prefix_identifier	689139	0	103887
scoped_class_type_identifier	186956	1481	2650
scoped_covergroup_type_identifier	219056	1481	2718
scoped_data_type_identifier	187021	1481	2008
scoped_interface_class_type_identifier	4	0	2
scoped_let_identifier	689139	1407	103887
scoped_or_hierarchical_tf_identifier	666279	670	80634
scoped_package_parameter_identifier	711547	77	104095
scoped_property_identifier	2	0	1
scoped_sequence_identifier	689495	4	103887
scoped_type_scope_prefix	218005	1481	2
select	662475	133851	424597
select_tail	237878	133851	0
semi	307843	39859	67681
seq_and_expr	2714	2	1357
seq_and_tail	1344	0	1
seq_block	32377	2431	4649
seq_delay_expr	1357	2	0
seq_input_list	2	0	0
seq_intersect_expr	2714	2	1357
seq_intersect_tail	1344	0	1
seq_or_expr	1357	2	0
seq_or_tail	1344	0	1
seq_throughout_expr	2714	2	1357
seq_unary	2716	6	1358
seq_within_expr	2714	2	1357
seq_within_tail	1344	0	1
sequence_abbrev	1098	0	1
sequence_actual_arg	1352	0	0
sequence_actual_arg_sv_2017	1352	0	0
sequence_declaration	79809	0	0
sequence_expr	1365	2	8
sequence_identifier	594331	4	0
sequence_instance	693057	13	3699
sequence_list_of_arguments	2163	0	811
sequence_method_call	1942733	4	1253594
sequence_named_arg	1352	0	0
sequential_body	2	0	0
sequential_entry	2	0	0
shift_left	476074	230	0
shift_left_assign	15361	0	0
shift_right	476074	42	0
shift_right_assign	15361	0	0
signing	853888	116	0
simple_identifier	1516324	415503	0
simple_identifier_no_scope	12257	2	0
simple_immediate_assert_statement	26522	0	0
simple_immediate_assertion_statement	26522	0	0
simple_immediate_assume_statement	26522	0	0
simple_immediate_cover_statement	26522	0	0
simple_type	692068	5463	114437
slash	472256	1035	0
slash_assign	15361	0	0
source_text	192	192	0
source_text_item	605	413	0
source_text_item_unit_sv_only	605	9	0
specify_block	71755	0	0
specparam_declaration	71755	0	0
specparam_identifier	942333	13190	0
split_direct_callable_method_call	2020769	19005	1435517
split_hierarchical_callable_receiver	585252	19005	0
star	496114	6164	0
star_assign	15361	0	0
statement	32389	15825	12
statement_item	32377	15825	0
statement_item_sv_2017	32377	15825	0
statement_or_null	32633	16368	1256
stream_operator	3818	0	0
streaming_concatenation	2533318	0	1934081
strength0	2	0	1
strength1	3	0	1
string_literal	577042	20474	0
struct_union	220014	724	11673
struct_union_member	2951	2113	0
struct_union_sv_2017	208341	724	0
structure_pattern_key	2805	2750	0
subroutine_call	32377	3762	2076
subroutine_call_statement	32377	3763	0
system_tf_call	2818191	5038	2240550
system_tf_identifier	1732923	9278	0
systemverilog_file	192	192	0
tagged_union_expression	487411	0	106957
tagged_union_expression_sv_2017	380454	0	0
task_body_declaration	85	81	0
task_declaration	80528	81	0
task_declaration_sv_2017	80528	81	637
task_identifier	174	84	0
task_prototype	43	2	2
task_prototype_sv_2017	41	2	0
tf_call	113445	7912	32811
tf_call_with_args	2785380	0	2199735
tf_identifier	675414	12490	0
tf_item_declaration	279	192	0
tf_port_declaration	279	177	79
tf_port_direction	384	232	0
tf_port_direction_const_ref_sv_only	339	0	0
tf_port_direction_sv_2017	384	232	45
tf_port_item_sv_only	184	132	0
tf_port_list	152	116	0
tf_port_list_sv_only	152	116	8
tf_variable_identifier_decl	98	177	0
tick	5658447	292	0
tilde	530718	639	0
time_literal	589306	7	0
time_unit	201312	7	3
timeunit_separator_slash	2	2	0
timeunit_separator_trivia	2	2	0
timeunits_declaration	80452	5	1309
trivia	93872066	1192158	91581168
type_assignment	40	20	0
type_assignment_sv_2017	40	20	0
type_declaration	113075	570	1184
type_declaration_sv_2017	111891	570	0
type_identifier	2129194	8074	0
type_reference	1869132	0	1151559
type_reference_sv_2017	717573	0	0
udp_ansi_declaration	608	1	0
udp_body	2	2	0
udp_declaration	605	3	0
udp_declaration_port_list	3	1	0
udp_declaration_sv_2017	605	3	0
udp_identifier	71999	526	0
udp_initial_statement	2	0	0
udp_input_declaration	5	2	0
udp_instance	15274	523	0
udp_instantiation	72747	523	756
udp_nonansi_declaration	608	1	0
udp_output_declaration	7	2	0
udp_port_declaration	4	2	0
udp_port_list	3	1	0
udp_reg_declaration	4	0	0
unary_operator	781344	3556	250626
unbased_unsized_literal	577042	94	0
unique_priority	107217	26	80543
uniqueness_constraint	8	0	0
uniqueness_constraint_sv_2017	8	0	0
unpacked_dimension	169812	1269	47510
unsigned_number	12257	830	0
unsized_dimension	366316	9	75800
value_range	24	4	0
value_range_sv_2017	24	4	0
var_data_type	1829	452	0
variable_assignment	22194	1740	0
variable_decl_assignment	114754	6203	8
variable_dimension	99815	1144	503
variable_identifier	344294	12415	0
variable_identifier_decl	2	2	0
variable_lvalue	700575	8443	109990
variable_lvalue_scope	590585	4	2125
variable_port_header	1565	447	0
variable_port_identifier_decl	3	3	0
variable_port_type	1829	452	0
void_cast_statement_sv_only	32377	1	5855
wait_statement	32377	0	5855
wait_statement_sv_only	26522	0	0
wildcard_equal	472256	0	0
wildcard_escape_nettype_identifier	79998	204	189
wildcard_not_equal	472256	0	0
xor_assign	15361	9	0
