class	suite	relpath	verdict	stuck_tick	furthest	stuck	surface	first_tick	last_tick	fail_line	first_tick_line	bytes	snippet
macro_use	verilator	test_regress/t/t_ref_arg_array_range_dir.v	STUCK-ON-SVPP-TOKEN	ifdef	787	788	715	478	2182	20	14	2277	ic [3:0][7:0] arr); `ifdef T_NOINLINE // verilator no_inline_task `endif
macro_use	verilator	test_regress/t/t_reloop_cam.v	STUCK-ON-SVPP-TOKEN	ifdef	1648	1649	203	1649	2404	60	60	4230	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_reloop_offset.v	STUCK-ON-SVPP-TOKEN	show	539	544	261	199	849	25	7	928	shift down 1"); `show(63); `show(62); `show(61); `show(32);
macro_use	verilator	test_regress/t/t_risefall_delay.v	STUCK-ON-SVPP-TOKEN	check_scalar	861	866	561	227	2367	26	7	2466	l begin #4; `check_scalar(1'b0); `checkh(out_vec_assign, 4'h0);
macro_use	verilator	test_regress/t/t_runflag_seed.v	STUCK-ON-SVPP-TOKEN	checkh	562	567	433	226	567	17	8	650	) !== 1) $stop; `checkh(r, ex); $write("*-* All Finished *-*\n"); $f
macro_use	verilator	test_regress/t/t_scheduling_0.v	STUCK-ON-SVPP-TOKEN	IMPURE_ONE	843	844	589	348	844	29	9	1613	f_also = clk_half & `IMPURE_ONE; // Random data updated by full speed clock
macro_use	verilator	test_regress/t/t_scheduling_2.v	STUCK-ON-SVPP-TOKEN	IMPURE_ONE	1058	1059	589	348	1124	43	9	1148	ys @(clk) a = cyc + `IMPURE_ONE; always @(a) b = a + `IMPURE_ONE; assign c =
macro_use	verilator	test_regress/t/t_scheduling_3.v	STUCK-ON-SVPP-TOKEN	IMPURE_ONE	1054	1055	589	348	1124	43	9	1148	always @(a) b = a + `IMPURE_ONE; always @(cyc) a = cyc + `IMPURE_ONE; assign
macro_use	verilator	test_regress/t/t_scheduling_4.v	STUCK-ON-SVPP-TOKEN	IMPURE_ONE	1111	1112	589	348	1185	45	9	1209	e cyc[0]) a = cyc + `IMPURE_ONE; always @(edge a[0]) b = a + `IMPURE_ONE; as
macro_use	verilator	test_regress/t/t_scheduling_initial_event.v	STUCK-ON-SVPP-TOKEN	checkh	1860	1866	463	226	2558	73	8	2997	changeNTime); `checkh(pEdgeCnt, 2); `checkh(nEdgeCnt, 2); `checkh(
macro_use	verilator	test_regress/t/t_scheduling_many_clocks.v	STUCK-ON-SVPP-TOKEN	checkh	1402	1409	463	226	1409	56	8	1473	final begin `checkh(cnt_plus_one, ITERATIONS + 1); end end endmod
macro_use	verilator	test_regress/t/t_scheduling_virt_iface_array.v	STUCK-ON-SVPP-TOKEN	checkh	1446	1447	806	386	1540	57	12	1728	case (cyc) 2: `checkh(obs0, 8'hAA); 3: `checkh(obs1, 8'hBB); 4
macro_use	verilator	test_regress/t/t_scheduling_virt_iface_dual_vif.v	STUCK-ON-SVPP-TOKEN	checkh	1432	1433	752	492	1538	47	13	1730	case (cyc) 2: `checkh(observed, 8'hAA); 3: `checkh(observed, 8'hBB);
macro_use	verilator	test_regress/t/t_scheduling_virt_iface_nonvirt_write.v	STUCK-ON-SVPP-TOKEN	checkh	1327	1328	739	479	1433	47	13	1625	case (cyc) 2: `checkh(observed, 8'hAA); 3: `checkh(observed, 8'hCC);
macro_use	verilator	test_regress/t/t_scheduling_zero_delay.v	STUCK-ON-SVPP-TOKEN	check	885	890	588	375	890	35	10	1009	, $time, a, b); `check(b, a + 10); end initial begin #99; $writ
macro_use	verilator	test_regress/t/t_select_2d.v	STUCK-ON-SVPP-TOKEN	ifdef	807	808	203	808	1514	35	35	1877	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_select_ascending.v	STUCK-ON-SVPP-TOKEN	ifdef	1318	1319	203	1319	2067	47	47	2169	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] sels=%x,%x,%x,%x %x,%x
macro_use	verilator	test_regress/t/t_select_bound1.v	STUCK-ON-SVPP-TOKEN	ifdef	868	869	213	869	1583	39	39	2213	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x out=%b
macro_use	verilator	test_regress/t/t_select_bound2.v	STUCK-ON-SVPP-TOKEN	ifdef	868	869	213	869	1583	39	39	2212	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x out=%b
