verdict	channel	suite	relpath	furthest	stuck	first_tick	fail_line	bytes	fact_names	snippet
PRE-TICK	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/comps/uvm_pair.svh	1913	1913	1966	48	5211	T1	) extends uvm_object; typedef uvm_class_pair #(T1, T2 ) this_type; `uvm_ob
PRE-TICK	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/tlm1/uvm_sqr_connections.svh	2229	2230	2264	57	3724	REQ	tends uvm_port_base #(uvm_sqr_if_base #(REQ, RSP)); `UVM_SEQ_PORT(`UVM_SEQ_ITE
PRE-TICK	FACT-GATED-LOCAL-TYPE	uvm-core	uvm-core-2020.3.1/src/tlm1/uvm_tlm_req_rsp.svh	2340	2340	2403	59	13793	REQ	xtends uvm_component; typedef uvm_tlm_req_rsp_channel #(REQ, RSP) this_type;
PRE-TICK	NO-FACT-GATE-AT-FAILURE	opentitan	hw/dv/sv/tl_agent/dv/env/tl_agent_env_pkg.sv	534	535	556	17	742		(tl_agent_env_cfg)) tl_agent_env_cov; `include "tl_agent_env_cfg.sv" `inclu
PRE-TICK	NO-FACT-GATE-AT-FAILURE	opentitan	hw/ip/aes/dv/err_injection_if/signal_force.sv	719	719	2019	24	2350		)::set(null, "*", pick_if_name(), fi_if); end // Pick a name
PRE-TICK	NO-FACT-GATE-AT-FAILURE	opentitan	hw/top_darjeeling/dv/autogen/tb__alert_handler_connect.sv	243	244	274	7	5467		y `topgen.py` tool assign alert_if[0].alert_tx = `CHIP_HIER.u_uart0.alert_tx_o[
PRE-TICK	NO-FACT-GATE-AT-FAILURE	opentitan	hw/top_earlgrey/dv/autogen/tb__alert_handler_connect.sv	243	244	274	7	4562		y `topgen.py` tool assign alert_if[0].alert_tx = `CHIP_HIER.u_uart0.alert_tx_o[
PRE-TICK	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/peek/abs.sv	738	739	869	16	4259		te /////////////// assign pre_regs[0] = 32'h0; for (genvar i = 1; i < 32; i++)
PRE-TICK	NO-FACT-GATE-AT-FAILURE	opentitan	hw/vendor/lowrisc_ibex/dv/formal/check/peek/mem.sv	484	485	539	13	5003		logic has_snd_req; assign has_snd_req = mem_gnt_snd_d | (mem_gnt_fst_q & `CR.da
PRE-TICK	NO-FACT-GATE-AT-FAILURE	scr1	src/tb/scr1_top_tb_runtests.sv	334	335	470	10	9076		------------------ initial begin $value$plusargs("imem_pattern=%h", imem_re
PRE-TICK	NO-FACT-GATE-AT-FAILURE	uvm-core	uvm-core-2020.3.1/src/reg/uvm_reg_sequence.svh	3172	3172	3191	73	20131		ence #(uvm_reg_item)) extends BASE; `uvm_object_param_utils(uvm_reg_sequence
PRE-TICK	NO-FACT-GATE-AT-FAILURE	uvm-core	uvm-core-2020.3.1/src/seq/uvm_sequencer_base.svh	1496	1497	14540	41	47855		(uvm_sequence_base) uvm_config_seq; typedef class uvm_sequence_request; // Util
PRE-TICK	UNDECLARED-ANYWHERE	black-parrot	bp_top/test/common/bp_nonsynth_core_profiler.sv	27	31	1761	3	10455	ERROR_CURRENTLY_UNSUPPORTED	NTLY_UNSUPPORTED typedef struct packed { logic icache_miss; logic b
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/ip/aes/dv/env/aes_ral_extension.svh	320	320	324	6	1081	aes_reg_block	xtends aes_reg_block; `uvm_object_utils(aes_reg_block_extended) function ne
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_dbg/dv/autogen/tb__xbar_connect.sv	231	232	240	7	854	xbar_dbg	.py` tool xbar_dbg dut(); `DRIVE_CLK(clk_dbg_i) `DRIVE_CLK(clk_peri_i) initia
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_main/dv/autogen/tb__xbar_connect.sv	232	233	241	7	3448	xbar_main	py` tool xbar_main dut(); `DRIVE_CLK(clk_main_i) `DRIVE_CLK(clk_fixed_i) init
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_mbx/dv/autogen/tb__xbar_connect.sv	231	232	240	7	1137	xbar_mbx	.py` tool xbar_mbx dut(); `DRIVE_CLK(clk_mbx_i) initial force dut.clk_mbx_i =
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip/xbar_peri/dv/autogen/tb__xbar_connect.sv	232	233	241	7	1639	xbar_peri	py` tool xbar_peri dut(); `DRIVE_CLK(clk_peri_i) initial force dut.clk_peri_i
PRE-TICK	UNDECLARED-ANYWHERE	opentitan	hw/top_darjeeling/ip_autogen/clkmgr/dv/env/clkmgr_env_cov.sv	960	961	3111	24	5299	csr_enable_cp,ip_clk_en_cp,peri_cross	le_off = peri_cross with (csr_enable_cp == 1 && ip_clk_en_cp == 0); } endg
