verdict	channel	suite	relpath	furthest	stuck	first_tick	fail_line	bytes	fact_names	snippet
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_bus_buffer.sv	961	962	962	29	70124		port el2_pkg::*; #( `include "el2_param.vh" )( input logic
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_bus_intf.sv	958	959	959	28	21997		port el2_pkg::*; #( `include "el2_param.vh" )( input logic
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_clkdomain.sv	946	947	947	29	7247		port el2_pkg::*; #( `include "el2_param.vh" )( input logic clk,
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_dccm_ctl.sv	1009	1010	1010	32	32054		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_dccm_mem.sv	1061	1062	1062	33	7629		port el2_pkg::*; #( `include "el2_param.vh" )( input logic clk,
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_ecc.sv	996	997	997	31	14782		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_lsc_ctl.sv	977	978	978	31	20545		port el2_pkg::*; #( `include "el2_param.vh" )( input logic rs
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_stbuf.sv	1010	1011	1011	33	21391		port el2_pkg::*; #( `include "el2_param.vh" ) ( input logic
IN-WINDOW		Cores-VeeR-EL2	design/lsu/el2_lsu_trigger.sv	940	941	941	28	2875		port el2_pkg::*; #( `include "el2_param.vh" )( input el2_trigger_pkt_t [3:0]
IN-WINDOW		Cores-VeeR-EL2	testbench/ahb_lsu_dma_bridge.sv	753	756	756	21	5103		dge #( TAG = 1, `include "el2_param.vh" ) ( input clk,
IN-WINDOW		Cores-VeeR-EL2	testbench/ahb_sif.sv	2474	2475	710	82	6860		AX_DELAY < 0) begin `ifdef VERILATOR if (iws_rand & ~HPROT[0]) iws = $ra
IN-WINDOW		Cores-VeeR-EL2	testbench/axi_lsu_dma_bridge.sv	2055	2056	2056	82	5540		rameter ICCM_BASE = `RV_ICCM_BITS; // in LSBs localparam IDFIFOSZ = $clog2(`RV_D
IN-WINDOW		Cores-VeeR-EL2	testbench/icache_macros.svh	81	85	22	4	8439		\ assign el2_mem_export.ic_tag_data_raw_packed_pre = '0; \
IN-WINDOW		Cores-VeeR-EL2	testbench/tb_top.sv	814	819	712	23	111701		ES = 2_000_000, `include "el2_param.vh" ); logic i_cpu_halt_req, o_cpu_ha
IN-WINDOW		Cores-VeeR-EL2	testbench/tb_top_pkg.sv	616	618	618	18	1859		ackage tb_top_pkg; `ifndef VERILATOR class bitflip_mask_generator #( in
IN-WINDOW		Cores-VeeR-EL2	testbench/uvm/mem/hdl/dccm_agent.sv	261	261	71	10	1049		nt extends uvm_agent; dccm_driver driver; dccm_sequencer sequencer; dccm_
